fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	pdf	typesetter	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
l066-01_arabesques_premiere	1: 4/4, 94: 2/4, 95: 4/4	1: 4, 39: 3, 71: 4	107	107	426.0	107	107	426.0	1207.83	1484	1018	0	0	0	1888	1888	Claude Debussy	Premiere Arabesque								2018-04-28	Microsoft Windows	http://musescore.com/user/24069/scores/5077352		Première Arabesque	"Claude Debussy
L. 66, No. 1     "	3.6.2	1.2.4	MS3	MS3/l066-01_arabesques_premiere.mscx	False	28-92 (E1-G#6)	https://imslp.org/wiki/Special:ReverseLookup/2821	https://musescore.com/hmscomp		Piano	50-92 (D3-G#6)	Piano	28-83 (E1-B5)
l066-02_arabesques_deuxieme	1: 4/4	1: 1	110	110	440.0	110	110	440.0	1222.0	1810	1048	0	0	0	1891	1891	Claude Debussy									2022-01-31	Microsoft Windows	https://musescore.com/classicman/scores/110108		"<font size=""24""/>Deuxième Arabesque"	"<font size=""12""/>Claude Debussy"	3.6.2	1.2.4	MS3	MS3/l066-02_arabesques_deuxieme.mscx	False	29-93 (F1-A6)	https://imslp.org/wiki/2_Arabesques_(Debussy,_Claude)#IMSLP02821	https://musescore.com/classicman	mxl	Piano	41-93 (F2-A6)	Piano	29-81 (F1-A5)
